chem_code,chem_name
1846,"Alkyl (50%C14, 40%C12, 10%C16) Dimethylbenzyl Ammonium Chloride"
3535,"Alkyl (53%C12, 19%C14, 8.5%C16, 7%C8, 6.5%C10, 6%C18) Dimethyl Benzylammonium Chloride"
1912,"Alkyl (58%C14, 28%C16, 14%C12) Dimethylbenzyl Ammonium Chloride"
1956,"Alkyl (60%C14, 25%C12, 15%C16) Dimethylbenzyl Ammonium Chloride"
1847,"Alkyl (60%C14, 30%C16, 5%C12, 5%C18) Dimethylbenzyl Ammonium Chloride"
1975,"Alkyl (61%C12, 23%C14, 11%C16, 5%C18) Dimethyl Benzyl Ammonium Chloride"
2060,"Alkyl (61%C12, 23%C14, 11%C16, 5%C8,C10,C18) Dimethylbenzyl Ammonium Chloride"
1960,"Alkyl (61%C12,23%C14,11%C16,3%C10,2%C8) Dimethylbenzyl Ammonium Chloride"
2375,"Alkyl (61%C12,23%C14,11%C16,2.5%C8 & C10,2.5%C18) Dimethyl Benzyl Ammonium Chloride"
1971,"Alkyl (65%C12, 25%C14, 10%C16) Dimethylbenzyl Ammonium Chloride"
1853,"Alkyl (67%C12, 25%C14, 7%C16, 1%C8,C10,C18) Dimethylbenzyl Ammonium Chloride"
5828,"Alkyl (67%C12, 25%C14, 7%C16, 1%C18) Dimethylbenzyl Ammonium Chloride"
5992,"N-(Alkyl (67%C12, 27%C14, 6%C16) N,N-Dimethyl-N-Benzyl Ammonium Chloride"
1977,"Alkyl (90%C14, 5%C12, 5%C16) Dimethylbenzyl Ammonium Chloride"
1991,"Alkyl (93%C14, 4%C12, 3%C16) Dimethylbenzyl Ammonium Chloride"
3855,"Alkyl (95%C14, 3%C12, 2%C16) Dimethyl Benzyl Ammonium Chloride"
2152,"Alkyl (95%C14, 3%C12, 2%C16) Dimethyl Benzyl Ammonium Chloride Dihydrate"
3897,"Alkyl (95%C14, 3%C12, 2%C16) Dimethyl Benzyl Ammonium Chloride Monohydrate"
324,"Alkyl (50%C14, 40%C12, 10%C16) Dimethylbenzyl Ammonium Saccharinate"
1919,Alkyl Dimethyl Cumenyl Ammonium Chloride
2027,"Alkyl (50%C12, 30%C14, 17%C16, 3%C18) Dimethyl Dichlorobenzyl Ammonium Chloride"
1909,"Alkyl (90%C14, 5%C12, 5%C16) Dimethyl Dichlorobenzyl Ammonium Chloride"
5126,"Alkyl(68%C12, 32%C14)Dimethyl Dimethylbenzyl Ammonium Chloride"
2057,"Alkyl (90%C14, 5%C12, 5%C16) Dimethyl Ethyl Ammonium Bromide"
1849,"Alkyl (50%C12, 30%C14, 17%C16, 3%C18) Dimethylethylbenzyl Ammonium Chloride"
1854,"Alkyl (68%C12, 32%C14) Dimethylethylbenzyl Ammonium Chloride"
1722,Alkyl Dimethyl Ethylbenzyl Ammonium Cyclohexyl Sulfamate
1002,Alkyl Dimethyl Ethyl Benzyl Ammonium Cyclohexyl Sulfonate
884,Alkyl Dimethyl Isopropyl Benzyl Ammonium Chloride
1839,"Alkyl (98%C12, 2%C14) Dimethyl 1-Naphthylmethyl Ammonium Chloride"
1750,"N-Alkyl (47%C12, 18%C14, 10%C18, 9%C10, 8%C8, 8%C16) Dipropoxy Amine"
986,"N-Alkyl (92%C18, 8%C16)-N-Ethylmorpholinium Ethyl Sulfate"
1715,Alpha-Alkyl-Omega-Hydroxypoly(Oxyethylene) Phosphate
5855,Alpha-Alkyl (C6-C10)-Omega-Hydroxypoly(Oxyethylene) Poly(Oxypropylene)
2023,Alpha-Alkyl (C8-C18)-Omega-Hydroxypoly(Oxyethylene) Poly(Oxypropylene)
2700,Alpha-Alkyl (C9-C11)-Omega-Hydroxypoly(Oxyethylene)
1884,Alpha-Alkyl (C9-C16)-Omega-Hydroxypoly(Oxyethylene)
5862,Alpha-Alkyl (C9-C18)-Omega-Hydroxypoly(Oxyethylene)
2077,Alpha-Alkyl (C10-C12)-Omega-Hydroxypoly(Oxyethylene)
1844,Alpha-Alkyl (C10-C14)-Omega-Hydroxypoly(Oxyethylene)
5821,Alpha-Alkyl (C10-C16)-Omega-Hydroxypoly(Oxyethylene)
5853,Alpha-Alkyl (C10-C18)-Omega-Hydroxypoly(Oxyethylene)
5838,Alpha-Alkyl (C10-C20)-Omega-Hydroxypoly(Oxyethylene)
1874,Alpha-Alkyl-Omega-Hydroxypoly(Oxyethylene)
5854,Alpha-Alkyl (Secondary C12-C14)-Omega-Hydroxypoly(Oxyethylene)
1878,Alpha-Alkyl (C12-C15)-Omega-Hydroxypoly(Oxyethylene)
5863,Alpha-Alkyl (C12-C16)-Omega-Hydroxypoly(Oxyethylene)
1834,"Alpha-Alkyl (43%C10, 30%C14, 12%C12, 10%C16, 5%C18) Poly (Oxyethylene) Poly (Oxypropylene) - I2 Complex"
1700,Alpha-Alkyl (C10-C18)- Omega-Hydroxypoly (Oxyethylene) Sulfate
1392,Alpha-Alkyl (Mixed)-Omega-Hydroxypoly (Oxyethylene) Sulfate
2035,Alpha-Alkyl (C6-C14)-Omega-Hydroxypoly(Oxyethylene) Poly(Oxypropylene)
2123,Alpha-Alkyl (C12-C18)-Omega-Hydroxypoly(Oxyethylene) Poly(Oxypropylene)
3920,Alpha-Alkyl (C10-C16)-Omega-Hydroxypoly(Oxyethylene) Poly(Oxypropylene) Phosphate
3996,Alpha-Pinene Beta-Pinene Copolymer
1558,"Alkyl Imidazoline Monocarboxylate, Monosodium Salt"
1833,"2-Alkyl (50%C12, 30%C14, 17%C16, 3%C18) Isoquinolinium Bromide"
928,Alkyl Methyl Isoquinolinium Chloride
1045,"Alkyl Monoethyoxyethanol, Diethoxyethyl Benzyl Ammonium Chloride"
3575,Alpha-Alkyl-(C10-C13)-Omega-Hydroxypoly(Oxyethylene) Phosphate
3574,Alpha-Alkyl-(C10-C14)-Omega-Hydroxypoly(Oxyethylene) Phosphate
1766,Alpha-Alkyl (C12-C14)-Omega-Hydroxypoly(Oxyethylene)
2360,Alpha-Alkyl (Secondary C11-C15)-Omega-Hydroxypoly(Oxyethylene)
3572,Alpha-Alkyl (Secondary C11-C15) Phenoxy-Omega-Hydroxypoly(Oxyethylene)
3651,Alpha-Alkyl (C12-C15)-Omega-Hydroxypoly(Oxyethylene) Sulfate
5740,"Alpha-Alkyl (C12-C15)-Omega-Hydroxypoly(Oxyethylene) Sulfate, Sodium Salt"
5907,Alpha-Alkyl (C12-C20)-Omega-Hydroxypoly(Oxyethylene)
1173,Alpha-Alkylphenyl-Omega-Hydroxypoly(Oxyethylene)
4006,Alkyl (C9-C11) Oligomeric D-Glucopyranoside
4015,"Alkyl (C8,C10) Polyglucoside"
1734,Alkyl (C12-C15)-Poly(Oxypropylene) Poly(Oxyethylene) - Iodine Complex
2063,"Alkyl (29%C14, 29%C13, 21%C12, 21%C15) Poly(Oxypropylene) Poly (Oxyethylene) - Iodine Complex"
1780,"Alkyl (53%C12, 19%C14, 8.5%C16, 7%C8, 6.5%C10, 6%C18)-1,3-Propane Diamine"
5068,"Alkyl(42%C12, 26%C18, 15%C14, 8%C16, 5%C10, 4%C8)1,3-Propylenediamine"
1379,"Alkyl-1,3-Propylene Diamine, Alkyl Derived From Coconut Oil Fatty Acids"
1380,"Alkyl-1,3-Propylene Diamine Acetate, Alkyl Derived From Coconut Oil Fatty Acids"
1841,"Alkyl-1,3-Propylene Diamine Adipate, Alkyl Derived From Coconut Oil Fatty Acids"
1735,"N-Alkyl-1,3-Propylene Diamine Monobenzoate, Alkyl Derived From Coconut Oil Fatty Acids"
1137,"Alkyl Pyridines, Mixed"
3020,N-Alkyl (Soya)-N-Methylmorpholinium Sulfate
1197,Alkyl Sulfate
1648,"Alkyl Sulfate, Sodium Salt"
1827,Alkyl Trimethyl Ammonium Bromides
2228,"Alkyl (58%C18, 40%C16, 1%C14, 1%C12) Trimethyl Ammonium Chloride"
10,"Alkyl (70%C18, 27%C16, 3%C14) Trimethyl Ammonium Chloride"
3022,Allantoin
12,Allethrin
90012,"Allethrin, Other Related"
2293,D-Allethrin
92293,"D-Allethrin, Other Related"
4038,D-Trans Allethrin
94038,"D-Trans Allethrin, Other Related"
114,Allidochlor
3023,Allyl Alcohol
1010,Allyl Isothiocyanate
2376,Allyloxypolyethylene Glycol Acetate
3576,"Almond, Bitter"
3577,Almond Hulls
3578,Almond Shells
5454,Aloe Vera Oil
1042,Aluminum
3025,Aluminum Acetate
3026,Aluminum Bicarbonate
3027,Aluminum Caprylate
3028,Aluminum Chloride
3029,Aluminum Diacetate
2145,Aluminum Hydroxide
2378,Aluminum Magnesium Silicate
3030,Aluminum Oxide
484,Aluminum Phosphide
3031,Aluminum Potassium Sulfate
2379,Aluminum Silicate
3032,Aluminum Stearate
1415,Aluminum Sulfate
6025,Ametoctradin
18,Ametryne
90018,"Ametryne, Other Related"
6104,Amicarbazone
860,"Amide-Amine Oleate Fatty Acids And Polyamines, Mixed"
2351,Amidochlor
1487,Aminacrine Hydrochloride
3033,Amine 220
1747,"Amines, Aliphatic"
1039,Amino Acids And Amino Salts
3035,P-Amino Benzoic Acid
2435,Aminocarb
5998,Aminocyclopyrachlor
6058,"Aminocyclopyrachlor, Methyl Ester"
6057,"Aminocyclopyrachlor, Potassium Salt"
3907,Amino Ethoxy Vinyl Glycine Hydrochloride
3034,2-((2-Amino Ethyl) Amino) Ethanol Dodecyl Benzene Sulfonate
6049,Aminomethylphosphonic Acid
5927,Aminopyralid
5928,"Aminopyralid, Triisopropanolamine Salt"
50,4-Aminopyridine
2016,Amitraz
20,Amitrole
22,Ammonia
3579,Ammoniated Caseinate
3036,Ammonium Acetate
3037,Ammonium Alum
2380,Ammonium Arsenate
3038,Ammonium Bicarbonate
3039,Ammonium Bisulfate
3040,Ammonium Bromide
3041,Ammonium Carbamate
3042,Ammonium Carbonate
3043,Ammonium Chloride
3044,Ammonium Citrate
3045,Ammonium Diisodecyl Sulfosuccinate
3046,Ammonium Dodecyl Poly Oxyethylene Sulfate
3047,Ammonium Ferric Sulfate
695,Ammonium Fluosilicate
2381,Ammonium Hydroxide
2109,Ammonium Isobutyrate
3048,Ammonium Lactate
1017,Ammonium Lauryl Sulfate
2382,Ammonium Lignosulphonate
5963,Ammonium Nonanoate
3050,Ammonium Nonyl Phenyl Poly Oxyethylene Sulfate
1230,Ammonium Oleate
891,Ammonium Oxalate
2383,Ammonium Pareth-25 Sulfate
3052,Ammonium Nitrate
5015,Ammonium Propionate
3053,Ammonium Stearate
21,Ammonium Sulfamate
1363,Ammonium Sulfate
995,Ammonium Tall Oil Fatty Acid Soap
25,Ammonium Thiocyanate
892,Ammonium Thiosulfate
3054,Ammonium Xylene Sulfonate
2384,Amoco 6342
2385,Ampelomyces Quisqualis
2386,Amsco-Solv
2387,Amycol Potato Alpha Starch
1889,Amyl Acetate
900,Para-Tert-Amylphenol
1056,"Para-Tert-Amylphenol, Potassium Salt"
5089,Anagrapha Falcifera Multi-Nuclear Polyhedrosis Virus (Afmnpv)
1744,Ancymidol
1478,Anethol
2204,Anhydrous Zirconium (Iv) Oxide
256,Anilazine
3056,Aniline
1345,Animal Gland Extracts
3581,Animal Glue
2628,Anionic Heteropolysaccharide
3893,Annatto
5329,Anthraquinone
2388,Antimony
3057,Antimony Potassium Tartrate
2001,Antimycin A
38,Antu
3582,Apple Pomace
39,Aramite
2389,Armul 22
2390,Armul 33
3908,Armul 88
2391,Armul 214/215
2392,Armul 358
2393,Armul 646
3878,Armul 1426
3877,Armul 1426 Hf
3883,Armul 1427
3876,Armul 1427 Hf
2394,Aromatic 100
2395,Aromatic 150
2396,Aromatic 200
710,Arsenic
40,Arsenic Acid
631,Arsenic Pentoxide
42,Arsenic Trioxide
2397,Artificial Peanut Butter Flavor Wl-5344
2398,Asbestos
3058,Ascorbyl Palmitate
5887,Aspergillus Flavus Strain Af36
6128,Aspergillus Flavus Strain Nrrl 21882
1140,Asphalt Solids
1693,Aspon
2399,Astrazon Yellow 4g200
5076,Asulam
1746,"Asulam, Sodium Salt"
3910,Atlox 847
2400,Atlox 848
3911,Atlox 1045a
3912,Atlox 3401
2401,Atlox 3403f
3921,Atlox 3404f
2402,Atlox 3404-Xf(Zs)
2403,Atlox 3406f
2404,Atlox 3409f
3913,Atlox 3453f
3922,Atlox 3454f
3914,Atlox 3455f
3915,Atlox 3472f
3916,Atplus 300f
4050,Atraton
45,Atrazine
4052,Atrazine Dealkylated
90045,"Atrazine, Other Related"
3059,Atropine
5143,Attapulgite
702,Auramine
6026,Aureobasidium Pullulans Strain Dsm 14940
6027,Aureobasidium Pullulans Strain Dsm 14941
2405,Autographa Californica
5916,Avermectin B1a
5917,Avermectin B1b
2328,Azadirachtin
5025,Azafenidin
2406,Azetidine-3-Carboxylic Acid
4053,Azinphos-Ethyl
314,Azinphos-Methyl
4054,Azinphos-Methyl Oxygen Analog
2407,"2,2'-Azobis Isobutyronitrile"
2408,Azocyclotin
2026,Azacosterol
6122,Trichoderma Hamatum Isolate 382
3890,Azodicarbonamide
4037,Azoxystrobin
6066,Azoxystrobin Acid
6067,Azoxystrobin Z
6082,Bacillus Amyloliquefaciens Strain D747
5183,"Bacillus Cereus, Strain Bp01"
6075,Bacillus Firmus (Strain I-1582)
5852,Bacillus Licheniformis Sb 3086
6095,Bacillus Pumilus Gha 180
5770,"Bacillus Pumilus, Strain Qst 2808"
2183,Bacillus Popilliae
2274,Bacillus Sphaericus
2409,"Bacillus Sphaericus, Serotype H-5a5b, Strain 2362"
3945,Bacillus Subtilis Gb03
5120,Bacillus Subtilis Mbi600
6165,Bacillus Subtilis Strain Iab/Bs03
5934,Bacillus Subtilis Var. Amyloliquefaciens Strain Fzb24
86,Bacillus Thuringiensis (Berliner)
3843,"Bacillus Thuringiensis (Berliner), Subsp. Aizawai, Gc-91 Protein"
3856,"Bacillus Thuringiensis (Berliner), Subsp. Aizawai, Serotype H-7"
5879,"Bacillus Thuringiensis, Subsp. Aizawai, Strain Abts-1857"
5226,"Bacillus Thuringiensis, Subsp. Aizawai, Strain Sd-1372, Lepidopteran Active Toxin(S)"
5819,Bacillus Thuringiensis Var. Aizawai Mocry1f And The Genetic Material Necessary For Its Production (Plasmid Insert Php 12537) In Maize
2410,"Bacillus Thuringiensis, Strain Darmstadiensis"
3954,Bacillus Thuringiensis Delta Endotoxin Produced In Corn
3857,"Bacillus Thuringiensis (Berliner), Subsp. Israelensis, Serotype H-14"
5841,"Bacillus Thuringiensis, Subsp. Israelensis, Strain Am 65-52"
4018,"Bacillus Thuringiensis Subspecies Israelensis, Strain Ips-78"
4005,"Bacillus Thuringiensis, Var. Japonensis, Strain Buibui"
3858,"Bacillus Thuringiensis (Berliner), Subsp. Kurstaki, Serotype 3a,3b"
5048,"Bacillus Thuringiensis Subsp. Kurstaki, Delta-Endotoxin  As Produced In Corn By An Hd-1 Gene, And Its Controlling Sequences And Found On Plasmid Vector, Pzo1502"
3978,Bacillus Thuringiensis Var. Kurstaki Strain M-200
3965,"Bacillus Thuringiensis, Var. Kurstaki Delta Endotoxins Cry 1a(C) And Cry 1c (Genetically Engineered) Encapsulated In Pseudomonas Fluorescens (Killed)"
5049,Bacillus Thuringiensis Sub. Kurstaki Strain Eg7673 Lepidopteran Active Toxin
3990,"Bacillus Thuringiensis, Subsp. Kurstaki, Genetically Engineered Strain Abg-6413 (Abts-2198) By Abbott"
5004,"Bacillus Thuringiensis Subsp. Kurstaki, Genetically Engineered Strain Agro1 By Agrevo"
5005,"Bacillus Thuringiensis Subsp. Kurstaki, Genetically Engineered Strain Agro2 By Agrevo"
3989,"Bacillus Thuringiensis, Subsp. Kurstaki, Genetically Engineered Strain S3159::G27 By Sandoz"
4041,"Bacillus Thuringiensis, Subsp. Kurstaki, Genetically Engineered Strain S3158::Cry A By Sandoz"
3955,Bacillus Thuringiensis Var. Kurstaki/Aizawai
3962,"Bacillus Thuringiensis Var. Kurstaki, Genetically Engineered Strain Ecx 9441"
5325,"Bacillus Thuringiensis Var. Kurstaki, Genetically Engineered Strain Eg7826"
3963,"Bacillus Thuringiensis, Var. Kurstaki, Genetically Engineered, Strain Eg7618"
3554,Bacillus Thuringiensis Var. Kurstaki Protein In Cottonseed
3859,"Bacillus Thuringiensis (Berliner), Subsp. Kurstaki, Strain Eg 2348"
3860,"Bacillus Thuringiensis (Berliner), Subsp. Kurstaki, Strain Eg2371"
3861,"Bacillus Thuringiensis (Berliner), Subsp. Kurstaki, Strain 2424"
5051,Bacillus Thuringiensis Sub. Kurstaki Strain Eg7673 Coleopteran Active Toxin
4024,Bacillus Thuringiensis Subspecies Kurstaki Strain Bmp 123
5829,"Bacillus Thuringiensis, Subsp. Kurstaki, Strain Abts-351, Fermentation Solids And Solubles"
4023,"Bacillus Thuringiensis, Subsp. Kurstaki, Strain Hd-1"
3986,"Bacillus Thuringiensis, Subsp. Kurstaki, Strain Hd-1,Delta-Endotoxin As Produced In Corn By A Cry Ia(B) Gene And Its Controlling Sequences By Monsanto"
3988,"Bacillus Thuringiensis Subspecies Kurstaki, Genetically Engineered Strain Eg7841 Lepidopteran Active Toxin"
5010,"Bacillus Thuringiensis Subspecies Kurstaki Strain Hd-1, Lepidopteran Active Toxin"
3862,"Bacillus Thuringiensis (Berliner), Subsp. Kurstaki, Strain Sa-11"
3970,"Bacillus Thuringiensis (Berliner), Subsp. Kurstaki Strain Sa-12"
3863,"Bacillus Thuringiensis (Berliner), Subsp. Morrisoni, Serotype 8a8b"
3864,"Bacillus Thuringiensis (Berliner), Subsp. San Diego"
5043,Bacillus Thuringiensis Subsp. Tenebrionis
3972,Bacillus Thuringiensis Subspec. Tenebrionis Delta Endotoxin
3522,Bacterial Protease
5940,Bacteriophage Active Against Xanthomonas Campestris Pv. Vesicatoria And Pseudomonas Syringae Pv. Tomato
5157,"Baculovirus, Genetically Engineered, Strain Acmnpv-Lqhit2"
3958,"Baculovirus, Genetically Enginered, Strain (Vegtdel)"
5021,"Baculovirus, Genetically Engineered, Strain Vegtdel-Aait"
5404,"Baculovirus, Genetically Engineered, Strain Vegtdel-Tox34"
5969,Balsam Fir Oil
1146,Balsam Peru
54,Bandane
55,Barban
3060,Barium Carbonate
3061,Barium Chloride
973,Barium Metaborate
2411,Barium Sulfate
5138,Barley Straw
2412,Barochem B460
2413,Barochem B464
3584,Basic Violet 1
3948,Beauveria Bassiana
5976,Beauveria Bassiana Hf 23
3993,Beauveria Bassiana Strain Gha
6137,Beauveria Bassiana Strain Ant-03
3586,Beeswax (Yellow And White)
3587,Beet Powder
1924,Bendiocarb
53,Benefin
1552,Benomyl
2263,Bensulfuron Methyl
70,Bensulide
2999,Bentazon
1944,"Bentazon, Sodium Salt"
1399,Bentonite
65,Benzaldehyde
67,Benzene
6046,"1,4-Benzenedicarboxylic Acid, 2,3,5,6-Tetrachloro-, Monomethyl Ester"
3561,"Benzene, 1,1'-Oxybis-Tetrapropylene Derivatives, Sulfonated, Sodium"
2415,Benzene Sulfonyl Chloride
2416,Benzin
1893,"1,2-Benzisothiazolin-3-One"
6076,Benzobicyclon
962,Benzocaine
6113,Benzovindiflupyr
1329,Benzoic Acid
3063,Benzophenone-2
2417,Benzophenone-3
2418,1h-Benzo Triazole
1705,Benzoyl Chloride Hydrazone
2000,N6-Benzyl Adenine
915,Benzyl Alcohol
5069,Benzyl-C12-14-Alkyldimethyl Quaternary Ammonium Compounds
68,Benzyl Benzoate
1653,Benzyl Bromoacetate
2419,Benzyl Chloride
522,Ortho-Benzyl-Para-Chlorophenol
936,"Ortho-Benzyl-Para-Chlorophenol, Potassium Salt"
937,"Ortho-Benzyl-Para-Chlorophenol, Sodium Salt"
3981,"Benzyldiethyl [(2,6-Xylylcarbamoyl)Methyl] Ammonium Saccharide"
1186,Benzyl Dimethyl Octadecyl Ammonium Chloride
3066,"1-Benzyl-2-Stearyl-Benzenidazol-6,3'-Disulfonic Acid, Sodium Salt"
6078,Beta-Conglutin
5228,Beta-Pinene-Maleamide Copolymer
2420,Bha
767,Bhc
90359,Bhc (Other Than Gamma Isomer)
3516,Bicyclic And Methene Resins
5657,Bifenazate
1953,Bifenox
2300,Bifenthrin
73,Binapacryl
4039,S-Bioallethrin
227,Biphenyl
6115,"N,N-Bis(3-Aminopropyl)Laurylamine"
2219,"1,4-Bis (Bromoacetoxy)-2-Butene"
397,Bis Butenylene Tetrahydro Furfural
3280,"2,2'-Bis(6-T-Butyl-P-Cresyl)-Methane"
203,Bis-(Chloroethyl) Ether
201,"Bis-(2,2-Dichloroethyl) Ether"
1165,"2,6-Bis ((Dimethyl Amino) Methyl) Cyclohexanone"
2422,"N,N'-Bis (3', 5'-Di-Tert-Butyl-4-Hydroxyphenyl)Propionyl) Hydrazine"
2243,Bis (2-Hydroxyethyl) Alkyl (As In Fatty Acids Of Coconut Oil) Amine Acetate
2423,"N,N-Bis-(2-Hydroxyethyl) Alkyl Amine"
2424,"N,N-Bis (2-Hydroxyethyl) Alkyl (C6-C18) Amine"
3067,"N,N-Bis-(2-Hydroxy Ethyl)-Cis-9-Octadecenamide"
3068,"N,N-Bis (2-Hydroxy Ethyl) Octanamide"
2298,"1,3-Bis(Hydroxymethyl)-5,5-Dimethyl Hydantoin"
3069,"2,6-Bis (1-Methyl Heptadecyl)-P-Cresol"
1986,"N,N-Bis-(2-(Omega-Hydroxypoly(Oxyethylene) Ethyl) Alkylamine, Alkyl Derived From Coconut Oil Fatty Acids"
2807,"N,N-Bis-(2-Omega-Hydroxypoly(Oxyethylene)Ethyl)Alkylamine, Alkyl Derived From Tallow Fatty Acids"
5897,"N,N-Bis-(2-Omega-Hydroxypoly(Oxyethylene)Ethyl)Alkyl (C14-C18) Amine"
3976,"N,N-Bis-(2-(Omega-Hydroxypoly(Oxyethylene)/Poly(Oxypropylene))Ethyl)Alkyl (C8-C18) Amine"
3070,Bisphenol A
1450,"Trans-1,2-Bis (N-Propylsulfonyl) Ethene"
5749,Bispyribac-Sodium
1990,Bis(Tributyltin) Adipate
5074,Bis(Tributyltin) Salicylate
74,Bis(Tributyltin) Succinate
1665,Bis(Tributyltin) Sulfone
1886,Bis(Tributyltin)Sulfide
1865,Bis(Trichloromethyl) Sulfone
2425,Blast Furnace Slag
77,Bomyl
3589,Bone Meal
78,Bone Oil
79,Borax
769,Boric Acid
2090,Boric Oxide
2426,Boron
5951,Boron Oxide
5790,Boscalid
3590,Bran
3591,Bread Crumbs
2049,Brodifacoum
83,Bromacil
840,"Bromacil, Dimethylamine Salt"
1573,"Bromacil, Lithium Salt"
842,"Bromacil, Sodium Salt"
2135,Bromadiolone
2288,Bromethalin
4055,Bromide
2296,Bromine
2323,Bromine Chloride
2080,"1-Bromo-3-Chloro-5,5-Dimethyl Hydantoin"
2427,Bromoethane
969,2-Bromo-4-Hydroxyacetophenone
1892,Beta-Bromo-Beta-Nitrostyrene
2428,Bromopropylate
2163,Bromoxynil Butyrate
5036,Bromoxynil Heptanoate
834,Bromoxynil Octanoate
2429,Bromoxynil Phenol
2295,Bronopol
91,Bufencarb
3928,Buffalo Gourd Root Powder
2430,Bupirimate
3947,Buprofezin
6064,Burkholderia Sp Strain A396 Cells And Fermentation Media
6138,Burkholderia Rinojensis A 396 (Nrrl B-50319)
4056,Butachlor
2431,"1,3-Butadiene"
2432,Butadiene-Acrylonitrile Copolymer
1562,Butane
3071,2-Butanone Oxime
2433,Butathiofos
3072,Butenediol
1943,"1,1-(2-Butenylene) Bis (3,5,7-Triaza-1-Azonia Adamantane Chloride)"
255,Butonate
90,Butopyronoxyl
2201,Butoxycarboxim
89,2-Butoxyethanol
